Category: All categories,
,
Month,free sky: (United Kingdom)
2004-01,30
2004-02,28
2004-03,23
2004-04,25
2004-05,23
2004-06,39
2004-07,28
2004-08,41
2004-09,40
2004-10,52
2004-11,52
2004-12,51
2005-01,45
2005-02,42
2005-03,39
2005-04,35
2005-05,33
2005-06,34
2005-07,41
2005-08,48
2005-09,45
2005-10,41
2005-11,43
2005-12,38
2006-01,38
2006-02,35
2006-03,34
2006-04,35
2006-05,32
2006-06,30
2006-07,37
2006-08,45
2006-09,44
2006-10,36
2006-11,39
2006-12,39
2007-01,36
2007-02,39
2007-03,41
2007-04,35
2007-05,40
2007-06,36
2007-07,40
2007-08,46
2007-09,46
2007-10,37
2007-11,40
2007-12,47
2008-01,42
2008-02,35
2008-03,42
2008-04,39
2008-05,39
2008-06,35
2008-07,37
2008-08,41
2008-09,42
2008-10,36
2008-11,40
2008-12,40
2009-01,46
2009-02,41
2009-03,38
2009-04,42
2009-05,39
2009-06,42
2009-07,44
2009-08,49
2009-09,47
2009-10,45
2009-11,51
2009-12,48
2010-01,53
2010-02,48
2010-03,44
2010-04,53
2010-05,45
2010-06,42
2010-07,40
2010-08,51
2010-09,51
2010-10,47
2010-11,44
2010-12,45
2011-01,74
2011-02,71
2011-03,60
2011-04,57
2011-05,59
2011-06,55
2011-07,76
2011-08,86
2011-09,76
2011-10,59
2011-11,56
2011-12,62
2012-01,71
2012-02,66
2012-03,64
2012-04,68
2012-05,51
2012-06,52
2012-07,58
2012-08,60
2012-09,60
2012-10,57
2012-11,54
2012-12,58
2013-01,64
2013-02,60
2013-03,59
2013-04,60
2013-05,56
2013-06,56
2013-07,58
2013-08,100
2013-09,64
2013-10,59
2013-11,62
2013-12,69
2014-01,76
2014-02,60
2014-03,64
2014-04,74
2014-05,65
2014-06,57
2014-07,52
2014-08,84
2014-09,67
2014-10,53
2014-11,54
2014-12,53
2015-01,58
2015-02,57
2015-03,61
2015-04,58
2015-05,58
2015-06,44
2015-07,53
2015-08,78
2015-09,57
2015-10,54
2015-11,56
2015-12,55
2016-01,49
2016-02,52
2016-03,53
2016-04,59
2016-05,53
2016-06,51
2016-07,48
2016-08,62
2016-09,55
2016-10,51
2016-11,56
2016-12,64
2017-01,53
2017-02,47
2017-03,52
2017-04,59
2017-05,47
2017-06,51
2017-07,52
2017-08,75
2017-09,60
2017-10,44
2017-11,45
2017-12,44
2018-01,47
2018-02,47
2018-03,48
2018-04,41
2018-05,39
2018-06,38
2018-07,37
2018-08,46
2018-09,48
2018-10,45
2018-11,54
2018-12,49
2019-01,39
2019-02,41
2019-03,41
2019-04,41
2019-05,44
2019-06,41
2019-07,36
2019-08,46
2019-09,39
2019-10,39
2019-11,40
2019-12,49
2020-01,39
2020-02,40
2020-03,45
2020-04,36
2020-05,29
2020-06,60
2020-07,37
2020-08,31
2020-09,37
2020-10,40
2020-11,38
2020-12,39
2021-01,39
2021-02,35
2021-03,38
2021-04,31
2021-05,30
2021-06,27
2021-07,29
2021-08,33
2021-09,30
2021-10,31
2021-11,28
2021-12,30
2022-01,32
2022-02,37
2022-03,37
2022-04,37
2022-05,34
2022-06,30
2022-07,33
2022-08,40
2022-09,30
2022-10,34
2022-11,31
2022-12,31
2023-01,35
2023-02,34
2023-03,32
2023-04,32
2023-05,28
2023-06,29
2023-07,27
2023-08,32
2023-09,31
2023-10,36
2023-11,30
2023-12,30
2024-01,29
2024-02,26
2024-03,27
2024-04,26
2024-05,25
2024-06,25
2024-07,25
2024-08,26
2024-09,23
2024-10,24
2024-11,26
2024-12,26
2025-01,25
2025-02,28
2025-03,26
2025-04,28
2025-05,34
2025-06,26
