Category: All categories,
,
Month,watch sky free: (United Kingdom)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,18
2004-09,18
2004-10,29
2004-11,21
2004-12,23
2005-01,22
2005-02,21
2005-03,22
2005-04,16
2005-05,13
2005-06,14
2005-07,14
2005-08,22
2005-09,19
2005-10,18
2005-11,17
2005-12,12
2006-01,11
2006-02,12
2006-03,16
2006-04,13
2006-05,11
2006-06,9
2006-07,0
2006-08,15
2006-09,12
2006-10,13
2006-11,18
2006-12,22
2007-01,18
2007-02,22
2007-03,30
2007-04,18
2007-05,24
2007-06,17
2007-07,16
2007-08,24
2007-09,30
2007-10,25
2007-11,19
2007-12,32
2008-01,18
2008-02,19
2008-03,30
2008-04,31
2008-05,24
2008-06,18
2008-07,18
2008-08,24
2008-09,35
2008-10,26
2008-11,30
2008-12,27
2009-01,33
2009-02,35
2009-03,34
2009-04,40
2009-05,36
2009-06,28
2009-07,27
2009-08,37
2009-09,33
2009-10,35
2009-11,38
2009-12,34
2010-01,42
2010-02,46
2010-03,39
2010-04,46
2010-05,49
2010-06,34
2010-07,26
2010-08,52
2010-09,46
2010-10,45
2010-11,47
2010-12,36
2011-01,66
2011-02,69
2011-03,69
2011-04,72
2011-05,60
2011-06,44
2011-07,65
2011-08,100
2011-09,79
2011-10,66
2011-11,46
2011-12,56
2012-01,63
2012-02,61
2012-03,67
2012-04,89
2012-05,56
2012-06,45
2012-07,50
2012-08,58
2012-09,68
2012-10,55
2012-11,57
2012-12,52
2013-01,57
2013-02,57
2013-03,49
2013-04,54
2013-05,48
2013-06,52
2013-07,39
2013-08,70
2013-09,58
2013-10,47
2013-11,59
2013-12,50
2014-01,53
2014-02,51
2014-03,68
2014-04,81
2014-05,63
2014-06,40
2014-07,34
2014-08,67
2014-09,53
2014-10,44
2014-11,52
2014-12,49
2015-01,63
2015-02,53
2015-03,60
2015-04,61
2015-05,79
2015-06,33
2015-07,35
2015-08,76
2015-09,51
2015-10,45
2015-11,45
2015-12,49
2016-01,42
2016-02,46
2016-03,44
2016-04,65
2016-05,62
2016-06,47
2016-07,35
2016-08,46
2016-09,47
2016-10,44
2016-11,33
2016-12,40
2017-01,37
2017-02,34
2017-03,41
2017-04,69
2017-05,44
2017-06,46
2017-07,43
2017-08,71
2017-09,39
2017-10,37
2017-11,31
2017-12,32
2018-01,30
2018-02,31
2018-03,46
2018-04,38
2018-05,40
2018-06,27
2018-07,25
2018-08,39
2018-09,44
2018-10,28
2018-11,31
2018-12,27
2019-01,20
2019-02,27
2019-03,25
2019-04,34
2019-05,35
2019-06,40
2019-07,22
2019-08,37
2019-09,25
2019-10,21
2019-11,24
2019-12,29
2020-01,21
2020-02,22
2020-03,15
2020-04,15
2020-05,14
2020-06,54
2020-07,28
2020-08,19
2020-09,28
2020-10,25
2020-11,23
2020-12,24
2021-01,22
2021-02,19
2021-03,22
2021-04,21
2021-05,25
2021-06,17
2021-07,19
2021-08,23
2021-09,23
2021-10,22
2021-11,17
2021-12,19
2022-01,24
2022-02,26
2022-03,27
2022-04,27
2022-05,25
2022-06,17
2022-07,20
2022-08,34
2022-09,22
2022-10,25
2022-11,18
2022-12,18
2023-01,22
2023-02,25
2023-03,24
2023-04,23
2023-05,20
2023-06,18
2023-07,18
2023-08,22
2023-09,21
2023-10,25
2023-11,19
2023-12,20
2024-01,22
2024-02,17
2024-03,21
2024-04,19
2024-05,20
2024-06,19
2024-07,19
2024-08,19
2024-09,17
2024-10,16
2024-11,17
2024-12,23
2025-01,17
2025-02,19
2025-03,17
2025-04,24
2025-05,23
2025-06,15
